Team,Opponent,GF,GA,Win Pred.,Predicted Winner,Actual Winners
Manchester City,Tottenham,2,0,1,Manchester City,Manchester City
Manchester City,Fulham,4,0,1,Manchester City,Manchester City
Manchester City,Wolverhampton,5,1,1,Manchester City,Manchester City
Manchester City,Nottingham Forrest,2,0,1,Manchester City,Manchester City
Manchester City,Brighton,4,0,1,Manchester City,Manchester City
Manchester City,Luton Town,5,1,1,Manchester City,Manchester City
Manchester City,Crystal Palace,4,2,1,Manchester City,Manchester City
Manchester City,Aston Villa ,4,1,1,Manchester City,Manchester City
Manchester City,Arsenal,0,0,1,Manchester City,Tie
Manchester City,Liverpool,1,1,0,Liverpool,Tie
Manchester City,Manchester United,3,1,1,Manchester City,Manchester City
Manchester City,Bournemouth,1,0,1,Manchester City,Manchester City
Manchester City,Chelsea,1,1,0,Chelsea,Tie
Manchester City,Everton,2,0,1,Manchester City,Manchester City
Manchester City,Brentford,3,1,1,Manchester City,Manchester City
Manchester City,Burnley,3,1,1,Manchester City,Manchester City
Manchester City,Newcastle,3,2,1,Manchester City,Manchester City
Manchester City,Sheffield United,2,0,1,Manchester City,Manchester City
Manchester City,Everton,3,1,1,Manchester City,Manchester City
Manchester City,Crystal Palace,2,2,0,Crystal Palace,Tie
Manchester City,Luton Town,2,1,1,Manchester City,Manchester City
Manchester City,Aston Villa ,0,1,0,Aston Villa ,Aston Villa 
Manchester City,Tottenham,3,3,1,Manchester City,Tie
Manchester City,Liverpool,1,1,0,Liverpool,Tie
Manchester City,Chelsea,4,4,0,Chelsea,Tie
Manchester City,Bournemouth,6,1,1,Manchester City,Manchester City
Manchester City,Manchester United,3,0,1,Manchester City,Manchester City
Manchester City,Brighton,2,1,1,Manchester City,Manchester City
Manchester City,Arsenal,0,1,0,Arsenal,Arsenal
Manchester City,Wolverhampton,1,2,0,Wolverhampton,Wolverhampton
Manchester City,Nottingham Forrest,2,0,1,Manchester City,Manchester City
Manchester City,West Ham,3,1,1,Manchester City,Manchester City
Manchester City,Fulham,5,1,1,Manchester City,Manchester City
Manchester City,Sheffield United,2,1,1,Manchester City,Manchester City
Manchester City,Newcastle,1,0,1,Manchester City,Manchester City
Manchester City,Burnley,3,0,1,Manchester City,Manchester City
Manchester City,West Ham,3,1,1,Manchester City,Manchester City
