GF,GA,xG,xGA,Poss,Sh,SoT,FK,PK,PKatt,Team,Opponent
2,0,2.15,1.52,47,8,5,17,1,1,Manchester City,Tottenham
4,0,2.87,0.1,65,16,9,9,1,1,Manchester City,Fulham
5,1,3.03,0.37,58,20,12,17,2,2,Manchester City,Wolverhampton
2,0,1.47,0.7,67,11,5,10,0,0,Manchester City,Nottingham Forrest
4,0,1.36,0.41,65,14,6,14,0,0,Manchester City,Brighton
5,1,3.34,0.7,74,37,13,6,1,1,Manchester City,Luton Town
4,2,2.08,1.4,76,18,8,15,0,0,Manchester City,Crystal Palace
4,1,2.66,0.84,67,25,11,14,0,0,Manchester City,Aston Villa 
0,0,1.01,0.7,72,12,1,21,0,0,Manchester City,Arsenal
1,1,1.5,2.82,47,10,6,12,0,0,Manchester City,Liverpool
3,1,3.15,0.19,73,27,8,11,0,0,Manchester City,Manchester United
1,0,1.53,0.79,62,15,6,16,0,0,Manchester City,Bournemouth
1,1,2.81,1.42,70,31,5,17,0,0,Manchester City,Chelsea
2,0,1.38,0.24,72,19,3,13,0,0,Manchester City,Everton
3,1,2.35,1.08,72,25,15,4,0,0,Manchester City,Brentford
3,1,1.76,1.39,74,14,4,16,0,0,Manchester City,Burnley
3,2,3.27,1.15,73,27,11,15,0,0,Manchester City,Newcastle
2,0,2.26,0.33,82,18,4,9,0,0,Manchester City,Sheffield United
3,1,2.8,1.03,72,23,9,14,1,1,Manchester City,Everton
2,2,1.57,1.98,74,19,9,11,0,0,Manchester City,Crystal Palace
2,1,1.37,0.36,66,18,6,17,0,0,Manchester City,Luton Town
0,1,0.86,2.06,54,2,2,13,0,0,Manchester City,Aston Villa 
3,3,2.87,0.54,55,18,4,16,0,0,Manchester City,Tottenham
1,1,1.38,0.55,60,16,5,15,0,0,Manchester City,Liverpool
4,4,3.28,3.07,55,15,10,13,1,1,Manchester City,Chelsea
6,1,1.74,0.62,66,21,8,11,0,0,Manchester City,Bournemouth
3,0,4.09,0.94,60,21,10,13,1,1,Manchester City,Manchester United
2,1,0.77,0.57,55,10,6,12,0,0,Manchester City,Brighton
0,1,0.47,0.46,51,4,1,10,0,0,Manchester City,Arsenal
1,2,0.77,0.39,68,23,8,20,0,0,Manchester City,Wolverhampton
2,0,1.45,0.87,57,7,4,20,0,0,Manchester City,Nottingham Forrest
3,1,3.41,0.84,68,29,15,8,0,0,Manchester City,West Ham
5,1,2.11,1.37,68,7,5,10,1,1,Manchester City,Fulham
2,1,3.98,0.81,80,30,9,8,0,1,Manchester City,Sheffield United
1,0,0.96,0.25,59,14,4,15,0,0,Manchester City,Newcastle
3,0,2.25,0.34,65,17,8,11,0,0,Manchester City,Burnley
3,1,2.2,0.37,70,28,12,11,0,0,Manchester City,West Ham
